run_name,profile,file,codec,resolution,frame_rate,bitrate_mbps,duration,test_type,scale_method,precheck_status,precheck_warnings,quality_status,worst_frame,worst_timestamp,chart,vmaf_min,vmaf_max,vmaf_mean,vmaf_harmonic_mean,psnr_avg,ssim_all,quality_per_mbps,baseline_bitrate_mbps,bitrate_savings_percent,vmaf_delta,psnr_delta,ssim_delta,notes
h264_baseline,1080p,encoded_1080p.mp4,h264,1920x1080,60000/1001,4.791,14.998,native,source_downscale,PASS,None,PASS,15,00:00.250,charts/h264_baseline_encoded_1080p_native_vmaf.svg,87.604954,96.385647,93.563612,93.547875,49.417912,0.991431,19.529036109371738,4.791,0.0,0.0,0.0,0.0,Very good
h264_baseline,1080p,encoded_1080p.mp4,h264,1920x1080,60000/1001,4.791,14.998,upscaled_3840x2160,encode_upscale,PASS,None,WARN,13,00:00.217,charts/h264_baseline_encoded_1080p_upscaled_3840x2160_vmaf.svg,76.869838,92.571573,86.138883,86.076632,48.448896,0.990091,17.979311834690044,4.791,0.0,0.0,0.0,0.0,Good; inspect visually; Low frame warning: min VMAF=76.870
h264_baseline,2160p,encoded_2160p.mp4,h264,3840x2160,60000/1001,8.57,14.998,native,source_downscale,PASS,None,WARN,23,00:00.384,charts/h264_baseline_encoded_2160p_native_vmaf.svg,85.035757,95.082489,89.428922,89.388482,49.298676,0.991281,10.43511341890315,8.57,0.0,0.0,0.0,0.0,Good; inspect visually
h264_baseline,2160p,encoded_2160p.mp4,h264,3840x2160,60000/1001,8.57,14.998,upscaled_3840x2160,encode_upscale,PASS,None,WARN,23,00:00.384,charts/h264_baseline_encoded_2160p_upscaled_3840x2160_vmaf.svg,85.035757,95.082489,89.428922,89.388482,49.298676,0.991281,10.43511341890315,8.57,0.0,0.0,0.0,0.0,Good; inspect visually
h264_baseline,720p,encoded_720p.mp4,h264,1280x720,60000/1001,2.674,14.998,native,source_downscale,PASS,None,PASS,9,00:00.150,charts/h264_baseline_encoded_720p_native_vmaf.svg,86.809404,96.836513,94.599688,94.579069,49.389457,0.991719,35.377594614809276,2.674,0.0,0.0,0.0,0.0,Very good
h264_baseline,720p,encoded_720p.mp4,h264,1280x720,60000/1001,2.674,14.998,upscaled_3840x2160,encode_upscale,PASS,None,FAIL,17,00:00.284,charts/h264_baseline_encoded_720p_upscaled_3840x2160_vmaf.svg,65.168069,87.318929,80.368455,80.233988,47.52277,0.988866,30.05551795063575,2.674,0.0,0.0,0.0,0.0,Good; inspect visually; CRITICAL low frame detected: min VMAF=65.168; Large quality swing: mean-min delta=15.200
hevc_low,1080p,encoded_1080p.mp4,hevc,1920x1080,60000/1001,1.874,14.998,native,source_downscale,PASS,None,PASS,9,00:00.150,charts/hevc_low_encoded_1080p_native_vmaf.svg,83.348296,96.06721,93.161586,93.137872,49.476865,0.991689,49.71269263607257,4.791,60.88499269463578,-0.40202600000000643,0.05895299999999537,0.0002580000000000915,Very good
hevc_low,1080p,encoded_1080p.mp4,hevc,1920x1080,60000/1001,1.874,14.998,upscaled_3840x2160,encode_upscale,PASS,None,WARN,9,00:00.150,charts/hevc_low_encoded_1080p_upscaled_3840x2160_vmaf.svg,71.396607,92.142839,85.798004,85.720334,48.475792,0.990612,45.78335325506937,4.791,60.88499269463578,-0.34087900000000104,0.026896000000000697,0.0005209999999999937,Good; inspect visually; Low frame warning: min VMAF=71.397
hevc_low,2160p,encoded_2160p.mp4,hevc,3840x2160,60000/1001,3.308,14.998,native,source_downscale,PASS,None,PASS,6,00:00.100,charts/hevc_low_encoded_2160p_native_vmaf.svg,80.6936,94.979678,90.159631,90.121091,49.212199,0.991389,27.255027509068928,8.57,61.400233372228705,0.7307090000000045,-0.08647700000000214,0.00010799999999999699,Very good
hevc_low,2160p,encoded_2160p.mp4,hevc,3840x2160,60000/1001,3.308,14.998,upscaled_3840x2160,encode_upscale,PASS,None,PASS,6,00:00.100,charts/hevc_low_encoded_2160p_upscaled_3840x2160_vmaf.svg,80.6936,94.979678,90.159631,90.121091,49.212199,0.991389,27.255027509068928,8.57,61.400233372228705,0.7307090000000045,-0.08647700000000214,0.00010799999999999699,Very good
hevc_low,720p,encoded_720p.mp4,hevc,1280x720,60000/1001,0.935,14.998,native,source_downscale,PASS,None,PASS,4,00:00.067,charts/hevc_low_encoded_720p_native_vmaf.svg,84.449983,96.209305,93.493342,93.474191,49.104896,0.991449,99.99287914438501,2.674,65.0336574420344,-1.106346000000002,-0.2845610000000036,-0.00026999999999999247,Very good
hevc_low,720p,encoded_720p.mp4,hevc,1280x720,60000/1001,0.935,14.998,upscaled_3840x2160,encode_upscale,PASS,None,FAIL,4,00:00.067,charts/hevc_low_encoded_720p_upscaled_3840x2160_vmaf.svg,61.78511,85.926983,78.329056,78.205694,47.293534,0.988987,83.77439144385026,2.674,65.0336574420344,-2.039399000000003,-0.22923600000000022,0.00012099999999992672,Noticeable degradation; CRITICAL low frame detected: min VMAF=61.785; Large quality swing: mean-min delta=16.544
hevc_medium,1080p,encoded_1080p.mp4,hevc,1920x1080,60000/1001,3.016,14.998,native,source_downscale,PASS,None,PASS,9,00:00.150,charts/hevc_medium_encoded_1080p_native_vmaf.svg,83.345904,96.565992,94.115961,94.09226,50.151164,0.992561,31.205557360742706,4.791,37.04863285326655,0.5523489999999924,0.7332520000000002,0.0011300000000000754,Very good
hevc_medium,1080p,encoded_1080p.mp4,hevc,1920x1080,60000/1001,3.016,14.998,upscaled_3840x2160,encode_upscale,PASS,None,WARN,9,00:00.150,charts/hevc_medium_encoded_1080p_upscaled_3840x2160_vmaf.svg,71.395545,92.806725,87.501612,87.426134,49.018675,0.991301,29.012470822281166,4.791,37.04863285326655,1.3627289999999874,0.569779000000004,0.0012099999999999334,Good; inspect visually; Low frame warning: min VMAF=71.396; Large quality swing: mean-min delta=16.106
hevc_medium,2160p,encoded_2160p.mp4,hevc,3840x2160,60000/1001,5.689,14.998,native,source_downscale,PASS,None,PASS,5,00:00.083,charts/hevc_medium_encoded_2160p_native_vmaf.svg,81.395549,95.67418,91.985874,91.955759,49.947987,0.992241,16.16907611179469,8.57,33.617269544924156,2.5569519999999955,0.6493109999999973,0.0009600000000000719,Very good
hevc_medium,2160p,encoded_2160p.mp4,hevc,3840x2160,60000/1001,5.689,14.998,upscaled_3840x2160,encode_upscale,PASS,None,PASS,5,00:00.083,charts/hevc_medium_encoded_2160p_upscaled_3840x2160_vmaf.svg,81.395549,95.67418,91.985874,91.955759,49.947987,0.992241,16.16907611179469,8.57,33.617269544924156,2.5569519999999955,0.6493109999999973,0.0009600000000000719,Very good
hevc_medium,720p,encoded_720p.mp4,hevc,1280x720,60000/1001,1.697,14.998,native,source_downscale,PASS,None,PASS,6,00:00.100,charts/hevc_medium_encoded_720p_native_vmaf.svg,85.588383,96.788664,94.618369,94.602038,50.060949,0.992708,55.75625751325869,2.674,36.537023186237846,0.018681000000000836,0.6714920000000006,0.0009890000000000176,Very good
hevc_medium,720p,encoded_720p.mp4,hevc,1280x720,60000/1001,1.697,14.998,upscaled_3840x2160,encode_upscale,PASS,None,FAIL,6,00:00.100,charts/hevc_medium_encoded_720p_upscaled_3840x2160_vmaf.svg,64.477709,87.207597,81.025633,80.917188,47.933406,0.989939,47.7463954036535,2.674,36.537023186237846,0.6571780000000018,0.41063599999999667,0.0010729999999999906,Good; inspect visually; CRITICAL low frame detected: min VMAF=64.478; Large quality swing: mean-min delta=16.548
